,Symbol,Name,Change,%_Change,50_Day_Avg,200_Day_Avg
0,FSAIX,Fidelity Select Portfolios Air Transportation Portfolio,-0.66,-1.45,40.77,60.77
1,WESCX,TETON Westwood SmallCap Equity Fund Class AAA,-0.45,-2.95,13.48,16.2
2,TFIFX,T. Rowe Price Financial Services Fund I Class,-0.29,-1.3,20.29,24.73
3,FSSNX,Fidelity Small Cap Index Fund,-0.46,-2.52,16.13,18.54
4,FSHOX,Fidelity Select Construction & Housing Portfolio,-0.9,-1.58,49.39,57.36
5,JVARX,JPMorgan Value Advantage Fund Class R5,-0.38,-1.26,27.95,32.78
6,FVDKX,Fidelity Value Discovery Fund Class K,-0.31,-1.18,24.26,27.05
7,RYCIX,Rydex Consumer Products Fund Class Investor,0.0,0.0,57.05,59.95
8,AVEDX,Ave Maria Rising Dividend Fund,-0.07,-0.43,15.05,17.06
9,RYCPX,Rydex Consumer Products Fund Class C,0.0,0.0,43.2,45.55
10,FZAMX,Fidelity Advisor Mid Cap II Fund Class Z,-0.14,-0.81,15.62,17.7
11,FITIX,Fidelity Advisor Mid Cap II Fund Class M,-0.13,-0.8,14.65,16.61
12,FIDLX,Fidelity Advisor Large Cap Fund Class Z,-0.33,-1.16,26.45,30.06
13,FALIX,Fidelity Advisor Large Cap Fund Class I,-0.32,-1.12,26.48,30.08
14,FALAX,Fidelity Advisor Large Cap Fund Class A,-0.3,-1.12,24.99,28.42
15,FDCGX,Fidelity Advisor Consumer Staples Fund Class C,0.19,0.25,74.51,79.68
16,FDFAX,Fidelity Select Consumer Staples Portfolio,0.2,0.25,77.57,83.0
17,CAMIX,Cambiar International Equity Fund Investor Class,0.42,1.96,20.35,23.62
18,CAMYX,Cambiar International Equity Institutional,0.42,1.96,20.38,23.65
19,FSMDX,Fidelity Mid Cap Index Fund,-0.1,-0.47,19.36,21.48
20,HJPNX,Hennessy Japan Fund Investor Class,0.72,1.92,34.5,35.69
21,HJPIX,Hennessy Japan Fund Institutional Class,0.74,1.92,35.56,36.79
22,CAEEX,Columbia Acorn European Fund Institutional 2 Class,0.38,1.88,18.44,20.21
23,FTUIX,Fidelity Advisor Telecommunications Fund I Class,-0.2,-0.32,59.92,60.25
24,CAECX,Columbia Acorn European Fund Class C,0.36,1.84,17.82,19.55
25,FSRPX,Fidelity Select Retailing Portfolio,-0.12,-0.67,16.28,16.15
26,FELTX,Fidelity Advisor Semiconductors Fund Class M,-0.69,-2.67,23.63,24.34
27,MIEIX,MFS Institutional International Equity Fund,0.43,1.77,23.14,25.54
28,SEVIX,SEI Institutional Managed Trust U.S. Managed Volatility Fund Class I,0.0,0.0,14.9,16.55
29,SVOAX,SEI Institutional Managed Trust U.S. Managed Volatility Fund Class F,0.0,0.0,14.9,16.55
30,FELAX,Fidelity Advisor Semiconductors Fund Class A,-0.72,-2.65,24.9,25.64
31,FMGIX,Frontier MFG Core Infrastructure Fund Institutional Class,0.26,1.6,15.79,17.15
32,HGITX,Hartford Core Equity Fund Class R5,0.02,0.06,31.34,33.17
33,HGIYX,Hartford Core Equity Fund Class Y,0.02,0.06,31.47,33.31
34,SCMIX,Columbia Seligman Communications and Information Fund Institutional 2 Class,-1.69,-1.91,81.6,85.35
35,FIVFX,Fidelity International Capital Appreciation Fund,0.33,1.56,20.28,21.57
36,SFLWX,AIG Focused Alpha Large-Cap Fund Class W,0.42,1.55,25.47,26.46
37,JUEPX,JPMorgan U.S. Equity Fund Class R3,-0.02,-0.13,14.91,15.45
38,FCIVX,Frontier MFG Core Infrastructure Fund Service Class,0.25,1.53,15.83,17.19
39,FIATX,Fidelity Advisor International Capital Appreciation Fund Class M,0.31,1.53,19.46,20.62
40,JUSRX,JPMorgan U.S. Equity Fund Class R5,-0.02,-0.13,15.05,15.6
41,GASFX,Hennessy Gas Utility Fund Investor Class,0.37,1.53,24.04,26.56
42,SXPAX,DWS S&P 500 Index Fund - Class A,-0.07,-0.22,29.88,31.6
43,FMIYX,FMI International Fund Institutional Class,0.02,0.08,24.42,28.69
44,JDEAX,JPMorgan U.S. Research Enhanced Equity Fund Class A,-0.07,-0.27,24.41,25.52
45,SXPCX,DWS S&P 500 Index Fund - Class C,-0.06,-0.19,29.79,31.5
46,FOSFX,Fidelity Overseas Fund,0.69,1.47,44.37,47.61
47,MYSPX,MainStay MacKay S&P 500 Index Fund Investor Class,-0.08,-0.19,39.86,42.64
48,FOSKX,Fidelity Overseas Fund Class K,0.68,1.45,44.28,47.51
49,FDVIX,Fidelity Advisor Diversified International Fund I Class,0.32,1.41,21.51,22.93
50,GQETX,GMO Quality Fund Class III,0.0,0.0,22.61,23.69
51,FMFAX,Fidelity Advisor Materials Fund Class A,0.51,0.83,57.35,61.76
52,FMFTX,Fidelity Advisor Materials Fund Class M,0.5,0.82,56.78,61.17
53,FADCX,Fidelity Advisor Diversified International Fund Class C,0.3,1.4,20.29,21.64
54,FSDPX,Fidelity Select Materials Portfolio,0.52,0.84,57.6,62.04
55,FMFCX,Fidelity Advisor Materials Fund Class C,0.49,0.83,55.26,59.51
56,SGIEX,Columbia Contrarian Core Fund Class V,0.0,0.0,24.11,25.11
57,COFYX,Columbia Contrarian Core Fund Institutional 3 Class,0.0,0.0,25.07,26.1
58,CORRX,Columbia Contrarian Core Fund Advisor Class,0.0,0.0,25.08,26.11
59,CCCRX,Columbia Contrarian Core Fund Class R,0.0,0.0,24.4,25.41
60,LCCCX,Columbia Contrarian Core Fund Class C,0.0,0.0,21.77,22.7
61,SMGIX,Columbia Contrarian Core Fund Institutional Class,0.0,0.0,24.6,25.61
62,MINDX,Matthews India Fund Investor Class,0.23,1.35,16.78,21.13
63,BBHLX,BBH Partner Fund - International Equity Class Institutional,0.21,1.34,14.71,15.64
64,MIDNX,Matthews India Fund Institutional Class,0.23,1.33,16.99,21.38
65,FGRSX,Federated International Leaders Fund Class R6 Shares,0.41,1.32,29.07,32.19
66,FCTGX,Fidelity Advisor Small Cap Growth Fund Class M,-0.23,-0.96,21.82,23.24
67,JMBRX,JPMorgan SmartRetirement Blend 2045 Fund Class R5,0.0,0.0,21.17,23.04
68,DGIFX,The Disciplined Growth Investors Fund,-0.17,-0.81,19.17,20.25
69,FCIGX,Fidelity Advisor Small Cap Growth Fund I Class,-0.26,-0.99,24.01,25.54
70,FGFRX,Federated International Leaders Fund Class R,0.4,1.29,28.93,32.04
71,FGFAX,Federated International Leaders Fund Class A Shares,0.4,1.29,29.09,32.21
72,RRTRX,T. Rowe Price Retirement 2045 Fund Class R,0.0,0.0,15.8,17.06
73,FACTX,Fidelity Advisor Health Care Fund Class M,0.67,1.25,51.99,50.01
74,PARLX,T. Rowe Price Retirement 2045 Fund Advisor Class,0.0,0.0,16.01,17.28
75,FACDX,Fidelity Advisor Health Care Fund Class A,0.72,1.25,56.05,53.88
76,TRRKX,T. Rowe Price Retirement 2045 Fund,0.0,0.0,16.12,17.4
77,FANIX,Fidelity Advisor Energy Fund I Class,-0.47,-2.5,16.9,22.33
78,SHSSX,BlackRock Health Sciences Opportunities Portfolio Institutional Shares,0.86,1.23,67.91,66.33
79,SHSKX,BlackRock Health Sciences Opportunities Portfolio Class K,0.86,1.23,68.0,66.41
80,SHSCX,BlackRock Health Sciences Opportunities Portfolio Investor C Shares,0.7,1.23,55.53,54.36
81,SHSAX,BlackRock Health Sciences Opportunities Portfolio Investor A Shares,0.81,1.22,64.38,62.92
82,BHSRX,BlackRock Health Sciences Opportunities Portfolio Class R,0.79,1.22,62.8,61.41
83,JOBBX,JPMorgan SmartRetirement Blend 2040 Fund Class R5,0.0,0.0,21.21,22.93
84,SHISX,BlackRock Health Sciences Opportunities Portfolio Service Shares,0.81,1.22,64.62,63.16
85,FAGNX,Fidelity Advisor Energy Fund Class M,-0.46,-2.52,16.43,21.7
86,FBALX,Fidelity Balanced Fund,-0.08,-0.33,22.99,23.67
87,WSBFX,Walden Balanced Fund,0.0,0.0,18.84,19.74
88,MSFLX,"Morgan Stanley Institutional Fund, Inc. Global Franchise Portfolio Class L",0.32,1.19,25.99,26.84
89,AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class,0.0,0.0,15.35,16.78
90,FBAKX,Fidelity Balanced Fund Class K,-0.08,-0.33,22.99,23.67
91,FZAAX,Fidelity Advisor Balanced Fund Class Z,-0.08,-0.35,21.37,21.96
92,BMRRX,BlackRock Mid-Cap Growth Equity Portfolio Class R,0.31,1.15,24.95,25.02
93,FABLX,Fidelity Advisor Balanced Fund Class A,-0.07,-0.32,20.92,21.49
94,PARKX,T. Rowe Price Retirement 2035 Fund Advisor Class,0.0,0.0,16.74,17.91
95,WILNX,William Blair International Leaders Fund Class N Shares,0.19,1.14,15.73,16.77
96,TRRJX,T. Rowe Price Retirement 2035 Fund,0.0,0.0,16.84,18.01
97,FEYAX,Fidelity Advisor Asset Manager 85% Fund Class A,0.01,0.05,17.63,18.82
98,WILJX,William Blair International Leaders Fund R6 Class Shares,0.19,1.13,15.78,16.83
99,FAIGX,Fidelity Advisor Balanced Fund Class M,-0.07,-0.31,21.19,21.76
100,CPEIX,Catalyst Dynamic Alpha Fund Class I,0.0,0.0,18.26,18.87
101,CMAAX,Calvert Moderate Allocation Fund Class A,0.0,0.0,18.18,19.09
102,BIPSX,ProFunds Biotechnology UltraSector Fund Service Class,0.52,1.01,49.33,46.6
103,DGLRX,BNY Mellon Global Stock Fund - Class I,0.22,1.01,20.91,21.95
104,BIPIX,ProFunds Biotechnology UltraSector Fund Investor Class,0.68,1.01,64.63,60.8
105,HLMNX,Harding Loevner International Equity Portfolio Investor Class,0.21,1.0,20.08,21.82
106,HLMIX,Harding Loevner International Equity Portfolio Institutional Class,0.21,1.0,20.1,21.84
107,SILVX,SGI U.S. Large Cap Equity Fund Class I,0.17,0.99,16.66,17.66
108,AGOZX,Alger Small Cap Focus Fund Class Z,0.24,0.99,22.22,21.52
109,LVOLX,SGI U.S. Large Cap Equity Fund Class A,0.17,0.99,16.72,17.72
110,PARNX,Parnassus Mid Cap Growth Fund - Investor,0.47,0.98,44.91,47.57
111,AKRIX,Akre Focus Fund Institutional Class,0.47,0.98,44.93,45.31
112,RRTNX,T. Rowe Price Retirement 2025 Fund Class R,0.0,0.0,15.81,16.71
113,AKRSX,Akre Focus Fund Supra Institutional Class,0.47,0.97,45.12,45.5
114,BFTIX,Baron Fifth Avenue Growth Fund Institutional Class,0.38,0.97,35.97,34.48
115,KMKNX,Kinetics Market Opportunities Fund No Load Class,0.24,0.97,23.56,24.92
116,CLREX,Columbia Balanced Fund Institutional 2 Class,0.0,0.0,41.21,42.18
117,DGLCX,BNY Mellon Global Stock Fund - Class C,0.2,0.96,19.86,20.87
118,AKREX,Akre Focus Fund Retail Class,0.45,0.96,43.76,44.17
119,PFPRX,Parnassus Mid Cap Growth Fund - Institutional,0.46,0.96,44.9,47.56
120,TRRHX,T. Rowe Price Retirement 2025 Fund,0.0,0.0,16.09,17.0
121,CBDRX,Columbia Balanced Fund Advisor Class,0.0,0.0,41.6,42.58
122,KMKYX,Kinetics Market Opportunities Fund Class Institutional,0.24,0.95,23.93,25.31
123,JRBYX,JPMorgan SmartRetirement Blend 2030 Fund Class R6,0.0,0.0,20.46,21.69
124,BALGX,BMO Large-Cap Growth Fund Class A,0.0,0.0,17.43,17.84
125,FPRAX,FPA Paramount Fund,0.18,0.92,18.24,19.97
126,BUFIX,Buffalo International Fund,0.14,0.91,14.57,15.58
127,IUESX,JPMorgan International Focus Fund Class I,0.18,0.9,19.05,20.73
128,VGSCX,Virtus Duff & Phelps Global Real Estate Securities Fund Class C,0.23,0.87,25.17,29.56
129,MASTX,BMO Large-Cap Growth Fund Class Y,0.0,0.0,17.44,17.86
130,VGSAX,Virtus Duff & Phelps Global Real Estate Securities Fund Class A,0.24,0.87,26.51,31.03
131,PARBX,T. Rowe Price Retirement 2020 Fund Advisor Class,0.0,0.0,20.08,21.11
132,JNGLX,Janus Henderson Global Life Sciences Fund Class D,0.53,0.86,59.49,59.17
133,PRJQX,PGIM Jennison Global Opportunities Fund-Class R6,0.26,0.86,28.22,27.28
134,JFNSX,Janus Henderson Global Life Sciences Fund Class S,0.51,0.86,57.33,57.06
135,TRRBX,T. Rowe Price Retirement 2020 Fund,0.0,0.0,20.25,21.28
136,MLCIX,BMO Large-Cap Growth Fund Class I,0.0,0.0,17.62,18.04
137,JFNCX,Janus Henderson Global Life Sciences Fund Class C,0.47,0.86,52.95,52.74
138,FGADX,Franklin Gold and Precious Metals Fund Advisor Class,0.19,0.86,20.83,19.08
139,VGISX,Virtus Duff & Phelps Global Real Estate Securities Fund Class I,0.23,0.85,25.79,30.28
140,VRGEX,Virtus Duff & Phelps Global Real Estate Securities Fund Class R6,0.23,0.85,25.88,30.37
141,JAGLX,Janus Henderson Global Life Sciences Fund Class T,0.52,0.85,59.2,58.89
142,BGEUX,Baillie Gifford International Growth Fund Class 3,0.13,0.85,14.09,13.98
143,JFNAX,Janus Henderson Global Life Sciences Fund Class A,0.51,0.84,58.41,58.12
144,JFNIX,Janus Henderson Global Life Sciences Fund Class I,0.52,0.84,59.6,59.28
145,APDKX,Artisan International Value Fund Advisor Class,0.25,0.84,28.09,32.47
146,MIOPX,"Morgan Stanley Institutional Fund, Inc. International Opportunity Portfolio Class A",0.22,0.83,24.67,24.88
147,FREAX,Nuveen Real Estate Securities Fund Class A,0.14,0.83,16.15,18.85
148,ARTKX,Artisan International Value Fund Investor Class,0.25,0.83,28.13,32.53
149,APHKX,Artisan International Value Fund Institutional Class,0.25,0.83,28.21,32.6
150,EGFFX,Edgewood Growth Fund Retail Class,0.33,0.83,37.13,36.11
151,RRTBX,T. Rowe Price Retirement 2020 Fund Class R,0.0,0.0,19.88,20.9
152,FIXIX,Fidelity Advisor International Small Cap Fund Class I,0.19,0.83,21.75,24.83
153,FRSSX,Nuveen Real Estate Securities Fund Class R3,0.14,0.82,16.44,19.18
154,EGFIX,Edgewood Growth Fund Class Institutional,0.34,0.81,38.95,37.85
155,FTISX,Fidelity Advisor International Small Cap Fund Class M,0.18,0.81,21.11,24.11
156,TFSCX,Templeton Institutional Foreign Smaller Companies Series Advisor,0.14,0.81,15.97,18.51
157,FIASX,Fidelity Advisor International Small Cap Fund Class A,0.18,0.8,21.19,24.19
158,RRITX,T. Rowe Price International Stock Fund Class R,0.13,0.8,15.43,16.84
159,PRIUX,T. Rowe Price International Stock Fund I Class,0.13,0.79,15.64,17.05
160,FISMX,Fidelity International Small Cap Fund,0.18,0.79,21.61,24.67
161,FICSX,Fidelity Advisor International Small Cap Fund Class C,0.17,0.79,20.45,23.36
162,FNCMX,Fidelity NASDAQ Composite Index Fund,-0.54,-0.46,110.75,110.62
163,VIISX,Virtus KAR International Small-Cap Fund Class I,0.13,0.77,15.39,17.06
164,VRISX,Virtus KAR International Small-Cap Fund Class R6,0.13,0.77,15.4,17.07
165,PRHSX,T. Rowe Price Health Sciences Fund,0.65,0.77,81.0,79.38
166,THISX,T. Rowe Price Health Sciences Fund I Class,0.65,0.77,81.02,79.4
167,FARCX,Nuveen Real Estate Securities Fund Class I,0.13,0.76,16.44,19.19
168,PARAX,T. Rowe Price Retirement 2010 Fund Advisor Class,0.0,0.0,16.81,17.44
169,TRRAX,T. Rowe Price Retirement 2010 Fund,0.0,0.0,16.89,17.53
170,NWWOX,Virtus Vontobel Global Opportunities Fund Class A,0.12,0.74,15.48,16.28
171,WWOIX,Virtus Vontobel Global Opportunities Fund Class I,0.12,0.74,15.49,16.29
172,PAITX,T. Rowe Price International Stock Fund Advisor Class,0.12,0.73,15.65,17.08
173,SCMGX,Sands Capital Global Growth Fund Institutional Shares,0.21,0.72,26.81,26.55
174,FFTMX,Fidelity Advisor Asset Manager 50% Fund Class M,0.01,0.06,17.36,17.95
175,GLRIX,James Balanced: Golden Rainbow Fund Institutional Class,0.0,0.0,19.58,20.29
176,SCGVX,Sands Capital Global Growth Fund Investor Shares,0.2,0.7,26.36,26.11
177,RRTAX,T. Rowe Price Retirement 2010 Fund Class R,0.0,0.0,16.7,17.33
178,GGGAX,Gabelli Global Growth Fund Class A,0.25,0.69,34.33,35.29
179,BARAX,Baron Asset Fund Retail Class,0.6,0.68,81.38,83.03
180,BARUX,Baron Asset Fund Class R6,0.62,0.68,84.9,86.58
181,BARIX,Baron Asset Fund Institutional Class,0.62,0.68,84.91,86.59
182,DODFX,Dodge & Cox International Stock Fund,0.23,0.68,31.67,37.84
183,FRESX,Fidelity Real Estate Investment Portfolio,0.25,0.66,35.82,41.28
184,GLVNX,Invesco Oppenheimer Global Focus Fund Class R,0.38,0.66,52.65,51.35
185,MCSVX,MainStay MacKay Convertible Fund Class B,0.0,0.0,17.21,17.56
186,FWTFX,Fidelity Advisor Worldwide Fund Class M,0.18,0.66,25.67,26.44
187,VINEX,Vanguard International Explorer Fund Investor Shares,0.1,0.66,14.01,15.84
188,FWAFX,Fidelity Advisor Worldwide Fund Class A,0.18,0.65,25.88,26.65
189,MBEAX,AMG GW&K Global Allocation Fund Class N,0.1,0.65,14.95,16.16
190,MGGIX,"Morgan Stanley Institutional Fund, Inc. Global Opportunity Portfolio Class I",0.2,0.65,28.66,28.46
191,FWIFX,Fidelity Advisor Worldwide Fund I Class,0.18,0.65,26.07,26.84
192,MGLBX,Marsico Global Fund,0.12,0.65,17.39,17.09
193,RYOIX,Rydex Biotechnology Fund Class Investor,0.57,0.64,84.57,81.4
194,POLRX,Polen Growth Fund Investor Class,0.23,0.64,33.53,33.35
195,FWCFX,Fidelity Advisor Worldwide Fund Class C,0.17,0.64,24.87,25.64
196,MBEYX,AMG GW&K Global Allocation Fund Class Z,0.1,0.64,15.11,16.33
197,MBESX,AMG GW&K Global Allocation Fund Class I,0.1,0.64,15.11,16.34
198,POLIX,Polen Growth Fund Institutional Class,0.23,0.63,34.28,34.08
199,TMMAX,SEI Institutional Managed Trust Tax-Managed Volatility Fund Class F,0.1,0.63,15.44,16.75
200,STVYX,SEI Institutional Managed Trust Tax-Managed Managed Volatility Fund Class Y,0.1,0.63,15.44,16.75
201,PRSIX,T. Rowe Price Spectrum Conservative Allocation Fund,0.0,0.0,18.62,19.29
202,TGGAX,Touchstone International Growth Opportunities Fund Class A,0.13,0.62,19.82,21.02
203,MIGPX,"Morgan Stanley Institutional Fund, Inc. Global Advantage Portfolio Class A",0.13,0.62,18.65,17.69
204,VTRIX,Vanguard International Value Fund Investor Shares,0.19,0.62,29.16,33.39
205,TYGGX,Touchstone International Growth Opportunities Fund Class Y,0.13,0.62,19.96,21.16
206,DSMGX,Touchstone International Growth Opportunities Fund Institutional Class,0.13,0.61,20.05,21.25
207,SGAPX,Virtus SGA Global Growth I Class,0.14,0.61,21.56,21.79
208,JFRNX,Janus Henderson Forty Fund Class N,0.2,0.49,38.74,38.96
209,MSPTX,"Morgan Stanley Institutional Fund, Inc. Global Advantage Portfolio Class C",0.12,0.61,17.51,16.64
210,FWWFX,Fidelity Worldwide Fund,0.17,0.61,26.23,27.0
211,RIVBX,Riverbridge Growth Fund Institutional Class,0.15,0.61,23.02,22.47
212,MIGIX,"Morgan Stanley Institutional Fund, Inc. Global Advantage Portfolio Class I",0.13,0.6,19.08,18.09
213,SGACX,Virtus SGA Global Growth C Class,0.13,0.6,20.36,20.61
214,PARMX,Parnassus Mid Cap Fund,0.19,0.6,29.8,32.73
215,PFPMX,Parnassus Mid Cap Fund Institutional Shares,0.19,0.6,29.87,32.8
216,NBQFX,Nuveen International Growth Fund Class R6,0.26,0.59,41.54,44.13
217,SAISX,SA International Small Company Fund Investor Class,0.1,0.59,15.63,18.08
218,VWIGX,Vanguard International Growth Fund Investor Shares,0.19,0.58,30.36,30.74
219,VSCGX,Vanguard LifeStrategy Conservative Growth Fund Investor Shares,0.0,0.0,20.14,20.56
220,MJFOX,Matthews Japan Fund Investor Class,0.12,0.58,19.5,20.38
221,MIJFX,Matthews Japan Fund Institutional Class,0.12,0.58,19.54,20.43
222,VWILX,Vanguard International Growth Fund Admiral Shares,0.6,0.58,96.6,97.81
223,LEVOX,Lazard US Equity Concentrated Portfolio Open Shares,0.09,0.58,14.77,15.84
224,LGRNX,Loomis Sayles Growth Fund Class N,0.11,0.58,18.05,17.98
225,LSGRX,Loomis Sayles Growth Fund Class Y,0.11,0.58,18.06,17.98
226,TGCNX,TCW Select Equities Fund Class N,0.16,0.61,24.16,24.24
227,PRJIX,T. Rowe Price New Horizons Fund I Class,0.38,0.57,61.04,60.56
228,HGGAX,Harbor Global Leaders Fund Institutional Class,0.17,0.57,27.97,29.57
229,LGRRX,Loomis Sayles Growth Fund Class A,0.1,0.56,16.83,16.77
230,LGRCX,Loomis Sayles Growth Fund Class C,0.09,0.56,15.21,15.17
231,PRNHX,T. Rowe Price New Horizons Fund,0.37,0.56,60.86,60.4
232,LDVAX,Leland Thomson Reuters Venture Capital Index Fund Class A,0.13,0.55,21.64,21.3
233,NRIAX,Nuveen Real Asset Income Fund Class A,0.11,0.55,19.36,22.38
234,NRIFX,Nuveen Real Asset Income Fund Class R6,0.11,0.55,19.46,22.49
235,TGGCX,Touchstone International Growth Opportunities Fund Class C,0.11,0.54,19.22,20.42
236,ATERX,AB Sustainable Global Thematic Fund Class R,0.66,0.54,114.37,116.55
237,HLMVX,Harding Loevner Global Equity Portfolio Institutional Class,0.2,0.53,34.79,35.73
238,HNGIX,Harbor Global Leaders Fund Retirement Class,0.16,0.53,28.03,29.62
239,FFFDX,Fidelity Freedom 2020 Fund,0.0,0.0,14.81,15.61
240,FPBFX,Fidelity Pacific Basin Fund,0.17,0.53,31.1,32.3
241,GIFCX,Guggenheim Floating Rate Strategies Fund Class C,0.12,0.53,22.43,24.0
242,GIFAX,Guggenheim Floating Rate Strategies Fund Class A,0.12,0.53,22.44,24.0
243,GIFPX,Guggenheim Floating Rate Strategies Fund Class P,0.12,0.52,22.45,24.01
244,GIFIX,Guggenheim Floating Rate Strategies Fund Institutional Class,0.12,0.52,22.46,24.03
245,AIAFX,Aberdeen Global Infrastructure Fund Class A,0.1,0.52,17.68,20.13
246,FBSOX,Fidelity Select IT Services Portfolio,0.4,0.52,70.6,73.18
247,LEVIX,Lazard US Equity Concentrated Portfolio Institutional Shares,0.08,0.52,14.67,15.73
